"STATION","NAME","DATE","AWND"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-07-01","2.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-07-02","1.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-07-03","1.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-07-04","1.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-07-05","0.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-07-06","0.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-07-07","1.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-07-08","0.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-07-09","1.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-07-10","1.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-07-11","2.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-07-12","0.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-07-13","0.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-07-14","1.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-07-15","1.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-07-16","1.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-07-17","1.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-07-18","1.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-07-19","1.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-07-20","0.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-07-21","1.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-07-22","1.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-07-23","1.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-07-24","1.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-07-25","1.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-07-26","2.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-07-27","1.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-07-28","1.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-07-29","1.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-07-30","1.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-07-31","1.5"
